Cancer_type	Description	TEAD3
a_OESOPHAGUS	KYSE150_OESOPHAGUS	-0.32600978
a_OESOPHAGUS	KYSE450_OESOPHAGUS	-0.596874735
a_OESOPHAGUS	KYSE510_OESOPHAGUS	-0.609298238
a_OESOPHAGUS	TE15_OESOPHAGUS	-0.878769488
a_OESOPHAGUS	JHESOAD1_OESOPHAGUS	-0.80926496
a_OESOPHAGUS	KYSE30_OESOPHAGUS	-0.540811111
a_OESOPHAGUS	OE33_OESOPHAGUS	-0.987540294
a_OESOPHAGUS	TE10_OESOPHAGUS	-0.903859226
a_OESOPHAGUS	TE9_OESOPHAGUS	-0.523189702
a_OESOPHAGUS	TT_OESOPHAGUS	-0.444627279
b_SOFT_TISSUE	RKN_b_SOFT_TISSUE	-0.946136238
b_SOFT_TISSUE	A204_b_SOFT_TISSUE	-0.247163271
c_SMALL_INTESTINE	HUTU80_c_SMALL_INTESTINE	-0.255955599
d_PANCREAS	ASPC1_d_PANCREAS	-0.590075438
d_PANCREAS	HPAC_d_PANCREAS	-0.488653111
d_PANCREAS	KP4_d_PANCREAS	-0.540704714
d_PANCREAS	BXPC3_d_PANCREAS	-0.629793269
d_PANCREAS	CFPAC1_d_PANCREAS	-2.000788844
d_PANCREAS	HPAFII_d_PANCREAS	0.409276129
d_PANCREAS	HS766T_d_PANCREAS	0.341735513
d_PANCREAS	KP1NL_d_PANCREAS	-1.133538906
d_PANCREAS	KP2_d_PANCREAS	0.020410494
d_PANCREAS	L33_d_PANCREAS	0.515134945
d_PANCREAS	MIAPACA2_d_PANCREAS	1.497629646
d_PANCREAS	PANC0327_d_PANCREAS	0.010257486
d_PANCREAS	PANC0813_d_PANCREAS	-0.005644348
d_PANCREAS	PANC1005_d_PANCREAS	0.252292069
d_PANCREAS	PSN1_d_PANCREAS	-0.031649841
d_PANCREAS	QGP1_d_PANCREAS	-1.122088333
d_PANCREAS	SU8686_d_PANCREAS	-0.828029891
e_OVARY	CAOV3_e_OVARY	0.091015587
e_OVARY	EFO27_e_OVARY	-0.694552401
e_OVARY	IGROV1_e_OVARY	0.060275663
e_OVARY	KURAMOCHI_e_OVARY	1.496946965
e_OVARY	OAW42_e_OVARY	0.862091888
e_OVARY	OV90_e_OVARY	-0.722066124
e_OVARY	OVCAR4_e_OVARY	-0.171997841
e_OVARY	OVISE_e_OVARY	-0.27888528
e_OVARY	RMGI_e_OVARY	1.117974388
e_OVARY	SKOV3_e_OVARY	-0.475999644
e_OVARY	TOV112D_e_OVARY	-0.185685712
e_OVARY	TOV21G_e_OVARY	0.801434488
e_OVARY	TYKNU_e_OVARY	-0.850772492
e_OVARY	CAOV4_e_OVARY	0.462958453
e_OVARY	COLO704_e_OVARY	-0.112136283
e_OVARY	COV362_e_OVARY	-0.060616015
e_OVARY	COV434_e_OVARY	0.284805416
e_OVARY	COV504_e_OVARY	-1.231915931
e_OVARY	COV644_e_OVARY	-0.032671775
e_OVARY	EFO21_e_OVARY	-0.602226038
e_OVARY	HEYA8_e_OVARY	-0.757254717
e_OVARY	JHOC5_e_OVARY	-0.750456902
e_OVARY	JHOM1_e_OVARY	0.263617484
e_OVARY	NIHOVCAR3_e_OVARY	0.308292488
